"GEO_ID","NAME","B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Other (dollars)"
"1400000US72137120800","Census Tract 1208, Toa Baja Municipio, Puerto Rico","19813","4299","17159","3844","25382","10200","7653","3194","22577","3626","23617","2105","-","**"
"1400000US72137120900","Census Tract 1209, Toa Baja Municipio, Puerto Rico","21483","3651","21570","5695","25784","4071","7331","3931","21395","4419","26058","5643","5859","4957"
"1400000US72137121001","Census Tract 1210.01, Toa Baja Municipio, Puerto Rico","20625","2761","20074","3789","22132","5438","4873","1962","21234","4981","29718","7008","6222","3023"
"1400000US72137121002","Census Tract 1210.02, Toa Baja Municipio, Puerto Rico","17126","4053","16978","12154","30536","3955","4010","3605","17202","3906","21544","6052","8056","2914"
"1400000US72137121100","Census Tract 1211, Toa Baja Municipio, Puerto Rico","14350","4460","10286","4288","17418","15626","7147","1065","21136","4606","23949","3542","-","**"
"1400000US72137121200","Census Tract 1212, Toa Baja Municipio, Puerto Rico","13256","2781","12795","3431","17398","3478","4306","2503","13652","3857","22582","4439","8212","1028"
"1400000US72137121300","Census Tract 1213, Toa Baja Municipio, Puerto Rico","16305","1287","16376","1036","17875","2593","8689","2676","16050","8109","19507","8766","10119","3223"
"1400000US72137121400","Census Tract 1214, Toa Baja Municipio, Puerto Rico","24777","4630","28309","12041","40399","4597","8523","4440","23530","2613","32271","10154","11881","3617"
"1400000US72137121701","Census Tract 1217.01, Toa Baja Municipio, Puerto Rico","20408","2017","19617","2422","22431","7359","8882","646","21557","3252","26368","1677","7846","2336"
"1400000US72137121702","Census Tract 1217.02, Toa Baja Municipio, Puerto Rico","17574","4671","19425","4364","25176","7459","-","**","11678","10016","24855","4916","6812","2809"
"1400000US72137121801","Census Tract 1218.01, Toa Baja Municipio, Puerto Rico","15698","1792","16886","2495","18603","6892","5185","3186","11173","6004","23220","8068","6536","4454"
"1400000US72137121802","Census Tract 1218.02, Toa Baja Municipio, Puerto Rico","20514","1814","20710","2753","25068","7476","5396","5322","20253","3300","24453","5919","8657","3773"
"1400000US72137121900","Census Tract 1219, Toa Baja Municipio, Puerto Rico","21339","4947","28046","7088","30152","2837","7500","3276","18772","3266","30313","8255","6122","2835"
"1400000US72137122001","Census Tract 1220.01, Toa Baja Municipio, Puerto Rico","16675","1427","16585","1801","22071","2803","6208","2464","16819","4666","29159","4036","6689","2008"
"1400000US72137122002","Census Tract 1220.02, Toa Baja Municipio, Puerto Rico","22447","2649","19827","4153","23684","6313","7241","3240","23652","2419","25399","3498","11838","7375"
"1400000US72137122100","Census Tract 1221, Toa Baja Municipio, Puerto Rico","15330","1279","14273","2169","16810","1567","8862","1701","16411","2247","21908","6399","6891","4423"
"1400000US72137122201","Census Tract 1222.01, Toa Baja Municipio, Puerto Rico","15974","1499","15659","2272","22083","8646","3851","2736","16345","1948","17740","3522","8879","2178"
"1400000US72137122202","Census Tract 1222.02, Toa Baja Municipio, Puerto Rico","13839","2240","9702","5546","16229","2409","6484","4550","15829","1928","19569","5938","7455","2371"
"1400000US72137122400","Census Tract 1224, Toa Baja Municipio, Puerto Rico","17904","1923","17641","2004","19331","1493","9194","2591","18650","4413","24150","4301","8684","3589"
