"GEO_ID","NAME","B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Other (dollars)"
"1400000US72001956300","Census Tract 9563, Adjuntas Municipio, Puerto Rico","14476","3093","15429","2584","20391","9407","8554","1803","12266","5042","25231","7698","7446","3549"
"1400000US72001956400","Census Tract 9564, Adjuntas Municipio, Puerto Rico","13940","3358","13012","4464","24050","5634","7000","2621","16014","7362","24211","8521","6020","2518"
"1400000US72001956500","Census Tract 9565, Adjuntas Municipio, Puerto Rico","14355","1774","14229","1364","14572","1661","-","**","14727","5256","20694","6611","-","**"
"1400000US72001956600","Census Tract 9566, Adjuntas Municipio, Puerto Rico","14353","2088","15772","2846","17778","3687","-","**","9757","5243","20000","4684","7819","1487"
"1400000US72001956700","Census Tract 9567, Adjuntas Municipio, Puerto Rico","17414","8424","18125","11564","32727","13099","10119","2148","16765","12141","25938","16936","7011","6409"
"1400000US72001956800","Census Tract 9568, Adjuntas Municipio, Puerto Rico","16938","2575","16693","2500","21705","14229","6534","5344","17325","5023","22115","3934","5879","1374"
"1400000US72003430100","Census Tract 4301, Aguada Municipio, Puerto Rico","14352","3363","15652","7975","24181","4325","6615","449","13859","2846","19815","3810","6618","4641"
"1400000US72003430200","Census Tract 4302, Aguada Municipio, Puerto Rico","9237","4731","6616","2442","-","**","5928","970","13973","2808","23942","9665","8952","2537"
"1400000US72003430300","Census Tract 4303, Aguada Municipio, Puerto Rico","11983","4301","13235","4516","16213","650","8569","1074","10993","6491","-","**","8180","2134"
"1400000US72003430401","Census Tract 4304.01, Aguada Municipio, Puerto Rico","13309","1721","13650","1818","21327","3774","8093","3158","12018","4548","25417","4452","5996","2583"
"1400000US72003430402","Census Tract 4304.02, Aguada Municipio, Puerto Rico","11980","1047","12161","1364","14495","4534","10388","1959","11517","3583","18133","3024","6442","2195"
"1400000US72003430501","Census Tract 4305.01, Aguada Municipio, Puerto Rico","16689","1806","18529","4272","26352","7526","6807","1462","15667","2263","17668","3598","5703","1155"
"1400000US72003430502","Census Tract 4305.02, Aguada Municipio, Puerto Rico","11547","2259","10014","2097","19883","3704","7389","1422","13676","3543","25325","8842","8345","3145"
"1400000US72003430601","Census Tract 4306.01, Aguada Municipio, Puerto Rico","12533","2396","11800","3262","17533","3438","7250","1361","12990","2717","14957","2415","6778","4517"
"1400000US72003430602","Census Tract 4306.02, Aguada Municipio, Puerto Rico","13708","3791","12985","4300","26510","12922","6569","1078","15160","4832","17434","4374","7446","5358"
"1400000US72003990000","Census Tract 9900, Aguada Municipio, Puerto Rico","-","**","-","**","-","**","-","**","-","**","-","**","-","**"
"1400000US72005400100","Census Tract 4001, Aguadilla Municipio, Puerto Rico","14855","4568","13045","7590","24583","10367","6279","1493","16060","4216","21552","18220","8837","3765"
"1400000US72005400300","Census Tract 4003, Aguadilla Municipio, Puerto Rico","23750","4590","26800","5961","31026","8744","8793","2830","18875","6218","26667","1731","7571","2772"
"1400000US72005400400","Census Tract 4004, Aguadilla Municipio, Puerto Rico","15167","4751","16774","6916","23152","3269","6500","1927","12370","6506","25789","4901","7500","2789"
"1400000US72005400501","Census Tract 4005.01, Aguadilla Municipio, Puerto Rico","16816","2074","17179","4792","24297","11356","5686","2313","16704","1889","19859","2896","6534","1967"
"1400000US72005400502","Census Tract 4005.02, Aguadilla Municipio, Puerto Rico","15753","3367","14332","5045","24706","5939","6448","2253","16434","5012","21734","3712","7924","1401"
"1400000US72005400600","Census Tract 4006, Aguadilla Municipio, Puerto Rico","11774","4181","12577","5149","23036","15383","7018","3251","10859","5147","23417","13347","8306","4685"
"1400000US72005400700","Census Tract 4007, Aguadilla Municipio, Puerto Rico","19906","6574","18824","12817","34539","8713","8839","3740","20463","7414","40489","14201","7137","3745"
"1400000US72005400800","Census Tract 4008, Aguadilla Municipio, Puerto Rico","12446","3750","12391","3334","-","**","10435","6193","12569","9668","15400","2082","2,500-","***"
"1400000US72005400900","Census Tract 4009, Aguadilla Municipio, Puerto Rico","13095","6648","13958","3493","17279","9876","6833","1540","-","**","16713","853","3582","1242"
"1400000US72005401000","Census Tract 4010, Aguadilla Municipio, Puerto Rico","12091","2770","12017","2666","16080","4162","7368","3444","12500","5393","16307","9111","8872","1099"
"1400000US72005401100","Census Tract 4011, Aguadilla Municipio, Puerto Rico","13929","8125","12625","11674","29922","2982","6453","892","-","**","24500","11540","-","**"
"1400000US72005401200","Census Tract 4012, Aguadilla Municipio, Puerto Rico","16092","2446","15396","5010","25156","10815","6612","1502","16552","5030","28125","17334","9556","2572"
"1400000US72005401301","Census Tract 4013.01, Aguadilla Municipio, Puerto Rico","12652","2431","12500","3673","22821","5098","5410","4782","12778","3579","27210","2361","8143","1898"
"1400000US72005401302","Census Tract 4013.02, Aguadilla Municipio, Puerto Rico","16245","2251","17109","3597","24444","12368","12838","7754","15444","6381","23449","9987","7950","2125"
"1400000US72005401401","Census Tract 4014.01, Aguadilla Municipio, Puerto Rico","14072","3693","12007","6088","26307","4626","5000","4189","15190","3768","19320","4556","8681","2828"
"1400000US72005401402","Census Tract 4014.02, Aguadilla Municipio, Puerto Rico","16500","1435","20015","4760","22500","8747","6288","1973","14258","3153","17090","5116","7681","2743"
"1400000US72005990000","Census Tract 9900, Aguadilla Municipio, Puerto Rico","-","**","-","**","-","**","-","**","-","**","-","**","-","**"
"1400000US72007230100","Census Tract 2301, Aguas Buenas Municipio, Puerto Rico","16637","2665","18895","7437","26598","6471","6225","4114","15257","3232","18214","3455","8155","2674"
"1400000US72007230200","Census Tract 2302, Aguas Buenas Municipio, Puerto Rico","15500","5331","9787","5728","17491","13669","7356","1241","23635","4389","24347","4694","-","**"
"1400000US72007230300","Census Tract 2303, Aguas Buenas Municipio, Puerto Rico","16120","2592","25000","18748","30543","10340","-","**","13919","3531","17935","4564","7061","2481"
"1400000US72007230400","Census Tract 2304, Aguas Buenas Municipio, Puerto Rico","12818","2545","12578","4363","17512","1890","7970","2565","12982","2883","16719","5098","4180","539"
"1400000US72007230501","Census Tract 2305.01, Aguas Buenas Municipio, Puerto Rico","17636","3713","15000","11431","30625","7477","6652","3821","18152","3036","21280","7799","2,500-","***"
"1400000US72007230502","Census Tract 2305.02, Aguas Buenas Municipio, Puerto Rico","15821","876","17109","2494","19224","2901","9734","3782","15089","2107","16827","1043","6912","2112"
"1400000US72009250100","Census Tract 2501, Aibonito Municipio, Puerto Rico","20121","5109","18717","3461","24000","8478","5958","1987","23194","8247","30469","3823","8036","5782"
"1400000US72009250200","Census Tract 2502, Aibonito Municipio, Puerto Rico","21124","5354","21694","10244","30481","11900","8194","2223","20864","7342","30017","8788","5893","4417"
"1400000US72009250300","Census Tract 2503, Aibonito Municipio, Puerto Rico","14927","2456","15654","3090","18091","2292","9250","3767","14110","2049","22277","3505","7043","3542"
"1400000US72009250400","Census Tract 2504, Aibonito Municipio, Puerto Rico","24290","4466","21827","10023","25915","4349","4063","429","28864","10067","30909","5354","2,500-","***"
"1400000US72009250500","Census Tract 2505, Aibonito Municipio, Puerto Rico","17676","2021","15788","4037","17660","3209","11684","2059","18993","2863","21235","1999","10268","7346"
"1400000US72009250600","Census Tract 2506, Aibonito Municipio, Puerto Rico","16887","5286","14490","6720","20202","5153","2849","1266","18750","5304","24779","5081","7674","6424"
"1400000US72011810100","Census Tract 8101, Añasco Municipio, Puerto Rico","14179","1088","14006","1041","15682","7645","8962","3717","14784","3012","19397","2023","7667","2980"
"1400000US72011810200","Census Tract 8102, Añasco Municipio, Puerto Rico","15833","1216","15947","1921","17555","2067","7422","2338","15714","1633","20123","3650","9552","1367"
"1400000US72011810300","Census Tract 8103, Añasco Municipio, Puerto Rico","14283","1224","13310","1231","15000","1438","6628","1389","16518","4047","21806","6019","7443","2784"
"1400000US72011810400","Census Tract 8104, Añasco Municipio, Puerto Rico","17083","5450","14952","8549","18125","8678","-","**","17222","6185","19783","4039","-","**"
"1400000US72011810500","Census Tract 8105, Añasco Municipio, Puerto Rico","15143","1747","15556","4587","22411","3826","8440","1784","15000","3980","17157","3420","5987","2339"
"1400000US72011810600","Census Tract 8106, Añasco Municipio, Puerto Rico","15066","1927","15786","4420","25667","8606","7309","1761","14639","1720","16956","1847","7708","2092"
"1400000US72011810700","Census Tract 8107, Añasco Municipio, Puerto Rico","11281","1808","10423","3539","17267","4211","7281","1769","11754","1951","15144","3947","7824","4293"
"1400000US72011990000","Census Tract 9900, Añasco Municipio, Puerto Rico","-","**","-","**","-","**","-","**","-","**","-","**","-","**"
"1400000US72013300101","Census Tract 3001.01, Arecibo Municipio, Puerto Rico","21829","3512","21866","3632","23514","2635","8135","3280","21667","7069","27181","3595","9621","2122"
"1400000US72013300102","Census Tract 3001.02, Arecibo Municipio, Puerto Rico","17500","1664","18816","2389","20583","3811","13511","3605","16207","2376","19021","1391","6833","1182"
"1400000US72013300200","Census Tract 3002, Arecibo Municipio, Puerto Rico","17905","3719","18203","6373","31786","14061","6533","3888","17654","4656","21929","5856","10092","2362"
"1400000US72013300301","Census Tract 3003.01, Arecibo Municipio, Puerto Rico","18210","2666","20660","4859","25153","2976","8155","7188","17080","1501","17500","2142","11122","3952"
"1400000US72013300302","Census Tract 3003.02, Arecibo Municipio, Puerto Rico","23120","3309","23396","4483","30406","11217","8090","3529","22165","7325","28293","3243","18378","4571"
"1400000US72013300400","Census Tract 3004, Arecibo Municipio, Puerto Rico","11226","2417","11700","3546","15673","1677","6544","3472","10804","5031","21927","7358","7917","2184"
"1400000US72013300500","Census Tract 3005, Arecibo Municipio, Puerto Rico","10938","9466","-","**","17614","4320","3722","1751","20060","15045","21071","1769","-","**"
"1400000US72013300700","Census Tract 3007, Arecibo Municipio, Puerto Rico","16205","4684","15000","5563","24886","9838","5341","4769","18018","4171","19728","15828","-","**"
"1400000US72013300800","Census Tract 3008, Arecibo Municipio, Puerto Rico","19057","6750","19953","8973","26412","6687","6283","1534","16891","8847","30461","11909","-","**"
"1400000US72013301000","Census Tract 3010, Arecibo Municipio, Puerto Rico","18295","2632","17515","2818","19926","3527","-","**","18946","4776","22750","2392","13813","8903"
"1400000US72013301100","Census Tract 3011, Arecibo Municipio, Puerto Rico","18197","1947","16124","3603","20103","3334","9322","2969","19297","1986","21016","2603","8709","1231"
"1400000US72013301200","Census Tract 3012, Arecibo Municipio, Puerto Rico","15302","2853","16772","2242","19654","2329","10938","6277","13886","4390","25335","15455","7470","3150"
"1400000US72013301300","Census Tract 3013, Arecibo Municipio, Puerto Rico","6479","2880","-","**","-","**","4519","2813","6042","3942","-","**","5042","3307"
"1400000US72013301400","Census Tract 3014, Arecibo Municipio, Puerto Rico","11875","5388","10417","8870","18203","5290","3839","2359","13375","4359","-","**","10357","8983"
