ID,Lat,LongW,Vg (mph),Vsust (mph),Lon
19747,17.74,64.779999,118.08,92.98,-64.779999
19748,17.74,64.769997,117.05,92.23,-64.769997
19749,17.74,64.760002,116.09,91.51,-64.760002
19750,17.74,64.75,115.16,90.81,-64.75
19751,17.74,64.739998,114.29,90.14,-64.739998
19752,17.74,64.730003,113.71,89.84,-64.730003
19753,17.74,64.720001,113.11,89.45,-64.720001
19754,17.74,64.709999,112.48,89.01,-64.709999
19755,17.74,64.699997,111.93,88.7,-64.699997
19756,17.74,64.690002,111.19,88.11,-64.690002
19757,17.74,64.68,110.78,88.08,-64.68
19758,17.74,64.669998,110.01,87.41,-64.669998
19759,17.74,64.660004,109.56,87.2,-64.660004
19760,17.74,64.650002,109.18,87.22,-64.650002
19761,17.74,64.639999,108.81,87.04,-64.639999
19762,17.74,64.629997,108.55,87.2,-64.629997
19763,17.74,64.620003,108.07,86.96,-64.620003
19764,17.74,64.610001,109.09,89.02,-64.610001
20177,17.75,64.889999,128.42,100.95,-64.889999
20178,17.75,64.879997,127.48,100.24,-64.879997
20179,17.75,64.870003,126.49,99.47,-64.870003
20180,17.75,64.860001,125.27,98.42,-64.860001
20181,17.75,64.849998,124.23,97.61,-64.849998
20182,17.75,64.839996,123.33,97.03,-64.839996
20183,17.75,64.830002,122.49,96.56,-64.830002
20184,17.75,64.82,121.21,95.49,-64.82
20185,17.75,64.809998,120.03,94.35,-64.809998
20186,17.75,64.800003,118.9,93.49,-64.800003
20187,17.75,64.790001,117.7,92.51,-64.790001
20188,17.75,64.779999,116.9,91.96,-64.779999
20189,17.75,64.769997,115.92,91.19,-64.769997
20190,17.75,64.760002,115.02,90.53,-64.760002
20191,17.75,64.75,114.22,89.95,-64.75
20192,17.75,64.739998,113.46,89.39,-64.739998
20193,17.75,64.730003,112.81,89.43,-64.730003
20194,17.75,64.720001,114.04,92.28,-64.720001
20197,17.75,64.690002,110.34,87.2,-64.690002
20198,17.75,64.68,109.74,86.79,-64.68
20199,17.75,64.669998,109.19,86.47,-64.669998
20200,17.75,64.660004,108.74,86.29,-64.660004
20201,17.75,64.650002,108.23,85.99,-64.650002
20202,17.75,64.639999,107.71,85.61,-64.639999
20203,17.75,64.629997,107.43,85.67,-64.629997
20204,17.75,64.620003,107.26,85.93,-64.620003
20205,17.75,64.610001,107.1,86.28,-64.610001
20206,17.75,64.599998,106.94,86.62,-64.599998
20207,17.75,64.589996,105.99,85.6,-64.589996
20208,17.75,64.580002,105.97,85.81,-64.580002
20209,17.75,64.57,112.77,92.92,-64.57
20619,17.76,64.879997,126.1,99,-64.879997
20620,17.76,64.870003,125.16,98.27,-64.870003
20621,17.76,64.860001,124.14,97.46,-64.860001
20622,17.76,64.849998,123.09,96.64,-64.849998
20623,17.76,64.839996,122.04,95.82,-64.839996
20624,17.76,64.830002,120.91,94.96,-64.830002
20625,17.76,64.82,119.83,94.17,-64.82
20626,17.76,64.809998,118.73,93.39,-64.809998
20627,17.76,64.800003,117.48,92.28,-64.800003
20628,17.76,64.790001,116.56,91.51,-64.790001
20629,17.76,64.779999,116.07,91.41,-64.779999
20630,17.76,64.769997,115.2,90.78,-64.769997
20631,17.76,64.760002,114.22,90.63,-64.760002
20632,17.76,64.75,113.42,90.44,-64.75
20633,17.76,64.739998,114.07,90.99,-64.739998
20634,17.76,64.730003,115.16,93.33,-64.730003
20639,17.76,64.68,111.12,91.44,-64.68
20640,17.76,64.669998,109.06,88.7,-64.669998
20641,17.76,64.660004,109.22,90.21,-64.660004
20642,17.76,64.650002,108.49,88.07,-64.650002
20644,17.76,64.629997,108.52,89.06,-64.629997
20649,17.76,64.580002,108.92,89.97,-64.580002
21061,17.77,64.870003,130.43,107.67,-64.870003
21067,17.77,64.809998,117.79,92.82,-64.809998
21068,17.77,64.800003,117.1,92.4,-64.800003
21069,17.77,64.790001,115.87,91.18,-64.790001
21070,17.77,64.779999,115.01,90.52,-64.779999
21071,17.77,64.769997,114.92,91.08,-64.769997
21072,17.77,64.760002,114.5,92.75,-64.760002
21073,17.77,64.75,114.49,91.71,-64.75
21074,17.77,64.739998,115.79,94.33,-64.739998
21510,17.780001,64.790001,116.16,92.53,-64.790001
21511,17.780001,64.779999,115.8,92.67,-64.779999
21512,17.780001,64.769997,115.72,93.24,-64.769997
21513,17.780001,64.760002,117.89,97.01,-64.760002
21514,17.780001,64.75,115.37,93.72,-64.75
26188,17.889999,66.519997,94.07,76,-66.519997
27537,17.92,66.260002,111.87,92.11,-66.260002
27894,17.93,67.099998,76.6,62,-67.099998
27895,17.93,67.089996,77.74,63.49,-67.089996
27909,17.93,66.949997,82.44,66.22,-66.949997
27910,17.93,66.940002,81.77,64.71,-66.940002
27911,17.93,66.93,81.95,64.63,-66.93
27980,17.93,66.239998,114.5,95.02,-66.239998
27984,17.93,66.199997,113.6,91.33,-66.199997
28336,17.940001,67.089996,82.25,67.7,-67.089996
28344,17.940001,67.010002,80.56,65.07,-67.010002
28349,17.940001,66.959999,81.78,65.12,-66.959999
28350,17.940001,66.949997,80.77,63.44,-66.949997
28351,17.940001,66.940002,82.01,64.71,-66.940002
28416,17.940001,66.290001,110.99,91.22,-66.290001
28424,17.940001,66.209999,115.82,95.01,-66.209999
28425,17.940001,66.199997,117.25,96.55,-66.199997
28429,17.940001,66.160004,113.58,88.97,-66.160004
28430,17.940001,66.150002,113.95,89.26,-66.150002
28431,17.940001,66.139999,114.5,89.69,-66.139999
28765,17.950001,67.209999,73.8,59.85,-67.209999
28766,17.950001,67.199997,73.08,58.41,-67.199997
28772,17.950001,67.139999,73.89,58.05,-67.139999
28773,17.950001,67.129997,74.17,58.24,-67.129997
28774,17.950001,67.120003,74.45,58.43,-67.120003
28775,17.950001,67.110001,76.31,62.74,-67.110001
28776,17.950001,67.099998,75.02,58.83,-67.099998
28781,17.950001,67.050003,80.37,65.8,-67.050003
28788,17.950001,66.980003,82.5,66.7,-66.980003
28789,17.950001,66.970001,81.84,65.25,-66.970001
28790,17.950001,66.959999,80.79,63.77,-66.959999
28791,17.950001,66.949997,81.22,63.53,-66.949997
28792,17.950001,66.940002,81.62,63.83,-66.940002
28793,17.950001,66.93,81.89,63.97,-66.93
28794,17.950001,66.919998,82.31,64.3,-66.919998
28796,17.950001,66.900002,85.49,68.65,-66.900002
28797,17.950001,66.889999,83.65,65.43,-66.889999
28798,17.950001,66.879997,83.94,65.59,-66.879997
28799,17.950001,66.870003,84.32,65.89,-66.870003
28801,17.950001,66.849998,85,67.69,-66.849998
28802,17.950001,66.839996,85.34,66.69,-66.839996
28846,17.950001,66.400002,102.17,79.96,-66.400002
28847,17.950001,66.389999,102.56,80.26,-66.389999
28857,17.950001,66.290001,111.83,91.72,-66.290001
28858,17.950001,66.279999,107.22,83.95,-66.279999
28859,17.950001,66.269997,107.56,84.21,-66.269997
28860,17.950001,66.260002,107.84,84.43,-66.260002
28861,17.950001,66.25,107.95,84.52,-66.25
28862,17.950001,66.239998,108.36,84.84,-66.239998
28863,17.950001,66.230003,109.14,85.46,-66.230003
28868,17.950001,66.18,113.1,88.59,-66.18
