fips_code,county,pop_estimates_2019,pop_estimates_2010,pop_percent_change,pop_census_2010,pop_under_5yrs_percent,pop_under_18yrs_percent,pop_65yrs_over_percent,female_percent,white_alone_percent,black_alone_percent,american_indian_alaska_native_alone_percent,asian_alone_percent,pacific_islander_alone_percent,two_or_more_races_percent,hispanic_percent,white_alone_not_hispanic_percent,veterans,foreign_born_persons_percent,housing_units,owner_occupied_housing_rate,median_value_of_owner_occupied_house,median_monthly_owner_costs_mortgage,median_monthly_owner_cost_no_mortgage,median_gross_rent,building_permits,households,persons_per_household,living_house_year_ago_percent_aged_1yr_over,language_non_english_percent_aged_5yrs,households_computer_percent,households_broadband_percent,high_school_graduate_percent_25yrs_over,bachelors_degree_percent_25yrs_over,disabled_under_65yrs_percent,no_health_insurance_under_65yrs_percent,labor_total_percent_age_16yrs,labor_force_female_percent_age_16yrs,accommodation_food_services_sales,health_care_and_social_revenue,manufacturers_shipments,merchant_wholesaler_sales,retail_sales,retail_sales_per_capita,mean_travel_time_to_work_mins,median_household_income,per_capita_income_past_year,poverty_percent,employer_establishments,employment,annual_payroll,employment_percent_change,nonemployer_establishments,all_firms,male_owned_firms,female_owned_firms,minority_owned_firms,nonminority_owned_firms,veteran_owned_firms,nonveteran_owned_firms,pop_per_square_mile,land_area_square_miles
72109,Patillas Municipio,16211,19257,-0.158,19257,0.031,0.17,0.234,0.514,0.139,0.845,0,0,0,0.001,0.998,0.002,275,0.006,,0.655,90200,663,128,309,,6144,2.76,0.945,0.979,0.632,0.597,0.731,0.151,0.077,0.067,0.358,0.335,5732,4069,6702,,53412,2826,31.5,16007,9636,0.54,94,791,17427,-0.088,,,,,,,,,412.8,46.7
72111,Peñuelas Municipio,19249,24282,-0.207,24282,0.048,0.213,0.174,0.516,0.714,0.037,0,0.002,0,0.005,0.995,0.004,763,0.002,,0.742,75700,654,136,431,,6863,2.97,0.966,0.968,0.693,0.668,0.738,0.219,0.111,0.034,0.404,0.344,6653,2187,,7517,43369,1845,27.3,16718,9480,0.574,143,1419,34065,0.092,,,,,,,,,544.2,44.62
72113,Ponce Municipio,131881,166327,-0.207,166327,0.041,0.186,0.228,0.52,0.775,0.058,0.001,0,0,0.092,0.992,0.006,3643,0.013,,0.662,97400,774,155,380,,52042,2.62,0.915,0.929,0.65,0.584,0.781,0.275,0.127,0.067,0.374,0.338,190884,549199,1293643,838472,1194716,7452,23.5,17069,11393,0.514,2269,35517,804657,-0.001,,,,,,,,,1449.3,114.76
72115,Quebradillas Municipio,22918,25919,-0.116,25919,0.036,0.181,0.211,0.519,0.865,0.042,0.001,0.002,0,0.007,0.984,0.009,455,0.018,,0.693,102700,664,136,457,,8083,2.92,0.972,0.96,0.709,0.615,0.739,0.189,0.119,0.052,0.385,0.311,9873,6606,4753,2386,33550,1303,26.2,17473,10451,0.493,206,1059,16990,-0.052,,,,,,,,,1142.7,22.68
72117,Rincón Municipio,13656,15200,-0.102,15200,0.031,0.157,0.255,0.519,0.859,0.004,0,0,0,0.096,0.883,0.099,374,0.018,,0.71,122000,938,131,450,,5018,2.80,0.946,0.958,0.636,0.476,0.671,0.23,0.151,0.052,0.422,0.358,18956,19679,,,37911,2503,20.1,19907,12507,0.418,169,1263,22342,-0.018,,,,,,,,,1063.8,14.29
72119,Río Grande Municipio,48025,54319,-0.116,54319,0.034,0.176,0.207,0.521,0.519,0.133,0.002,0.003,0,0.021,0.991,0.007,1139,0.013,,0.753,113800,881,151,527,,15635,3.13,0.926,0.956,0.759,0.698,0.781,0.228,0.158,0.091,0.522,0.493,156321,16641,26694,4848,1042858,19301,38.9,22669,11341,0.394,300,4314,92907,-0.124,,,,,,,,,895.8,60.62
72121,Sabana Grande Municipio,21712,25361,-0.144,25361,0.038,0.182,0.238,0.531,0.704,0.021,0.002,0,0,0.017,0.997,0.003,622,0.003,,0.76,95800,725,129,467,,7061,3.17,0.949,0.906,0.565,0.453,0.743,0.194,0.225,0.073,0.411,0.366,7022,8453,186420,,29911,1202,26.5,17319,9810,0.465,168,1740,34949,0.058,,,,,,,,,705.1,35.83
72123,Salinas Municipio,27128,31078,-0.127,31078,0.04,0.203,0.204,0.517,0.574,0.384,0.001,0.002,0,0.007,0.997,0.001,693,0.005,,0.802,83100,690,141,430,,10036,2.79,0.934,0.966,0.517,0.619,0.738,0.175,0.18,0.065,0.367,0.319,13120,6759,35819,,77090,2508,25,18189,9557,0.499,160,1483,32172,-0.143,,,,,,,,,448,69.37
72125,San Germán Municipio,30227,35691,-0.153,35691,0.039,0.178,0.253,0.514,0.574,0.015,0,0,0.001,0.005,0.994,0.005,1067,0.007,,0.709,82300,743,113,410,,11722,2.62,0.896,0.948,0.439,0.376,0.716,0.24,0.064,0.056,0.315,0.29,21892,144723,259920,16011,413128,11843,24.7,16486,10535,0.507,323,4140,94633,-0.008,,,,,,,,,651.9,54.5
72127,San Juan Municipio,318441,395475,-0.195,395475,0.038,0.168,0.235,0.543,0.653,0.133,0.004,0.004,0,0.053,0.979,0.015,8438,0.118,,0.539,153500,1094,206,484,,142699,2.30,0.909,0.925,0.65,0.551,0.813,0.373,0.12,0.118,0.517,0.462,1347047,1673807,1073966,4854072,4320634,11302,25.9,22710,19361,0.41,10787,193924,5964066,0.001,,,,,,,,,8262.3,47.85
72129,San Lorenzo Municipio,35989,41036,-0.123,41036,0.035,0.175,0.199,0.514,0.627,0.316,0.001,0.001,0,0.038,0.998,0,481,0.012,,0.755,110100,906,138,498,,13772,2.69,0.954,0.96,0.58,0.507,0.719,0.183,0.12,0.066,0.388,0.351,10772,10983,1483180,3008,453190,11155,35.6,19380,11307,0.439,248,3616,89180,0.029,,,,,,,,,773.1,53.11
72131,San Sebastián Municipio,35528,42430,-0.163,42430,0.035,0.178,0.241,0.515,0.654,0.036,0,0.003,0,0.017,0.966,0.027,443,0.01,,0.645,98400,790,120,403,,13313,2.77,0.963,0.96,0.53,0.376,0.678,0.192,0.146,0.067,0.368,0.311,14463,21477,16736,10616,127632,3072,28.8,15331,9498,0.535,441,3366,52904,0.046,,,,,,,,,602.5,70.42
72133,Santa Isabel Municipio,21209,23274,-0.089,23274,0.039,0.2,0.168,0.518,0.58,0.373,0.002,0,0,0.011,0.996,0.004,687,0.002,,0.776,93500,769,133,488,,7367,2.95,0.941,0.965,0.551,0.65,0.838,0.253,0.191,0.099,0.487,0.432,14154,7161,125430,1895,93858,4021,24.2,19827,11596,0.454,160,3193,89444,-0.027,,,,,,,,,684.1,34.02
72135,Toa Alta Municipio,72025,74070,-0.028,74070,0.035,0.189,0.15,0.521,0.827,0.072,0.001,0.004,0,0.037,0.986,0.008,1330,0.012,,0.832,133500,1065,173,664,,22138,3.28,0.959,0.95,0.815,0.517,0.826,0.293,0.109,0.075,0.517,0.483,8932,12208,28565,13538,92587,1227,42.5,28834,14661,0.294,304,2017,36996,-0.106,,,,,,,,,2741.6,27.02
72137,Toa Baja Municipio,74271,89616,-0.171,89616,0.036,0.18,0.203,0.534,0.724,0.114,0,0,0,0.052,0.987,0.011,2060,0.026,,0.739,122300,885,172,581,,27400,2.83,0.951,0.932,0.78,0.548,0.811,0.268,0.134,0.086,0.509,0.458,29072,24870,235323,561142,434199,4958,32.8,25105,13106,0.365,725,10320,258230,0.009,,,,,,,,,3855.6,23.24
72139,Trujillo Alto Municipio,63674,74860,-0.149,74860,0.033,0.18,0.2,0.531,0.794,0.101,0.001,0.001,0,0.047,0.991,0.008,1498,0.031,,0.678,146200,1074,179,501,,23800,2.76,0.936,0.955,0.807,0.719,0.844,0.36,0.119,0.096,0.523,0.47,27371,51196,53269,119626,244638,3319,34.3,32545,16482,0.295,523,7577,123402,-0.094,,,,,,,,,3604.4,20.76
72141,Utuado Municipio,27395,33149,-0.174,33149,0.035,0.18,0.229,0.516,0.528,0.01,0.001,0.002,0,0.019,0.992,0.005,544,0.002,,0.606,90000,744,130,396,,9593,2.98,0.955,0.948,0.59,0.523,0.722,0.187,0.15,0.085,0.379,0.35,5395,6188,10332,,85876,2656,35.5,15399,8683,0.526,174,1272,21468,-0.044,,,,,,,,,292,113.53
72143,Vega Alta Municipio,36061,39951,-0.097,39951,0.038,0.196,0.191,0.519,0.714,0.106,0,0.001,0,0.024,0.984,0.009,635,0.014,,0.687,114300,927,167,521,,11918,3.06,0.933,0.961,0.692,0.554,0.73,0.222,0.138,0.067,0.43,0.372,17941,24540,95013,109867,150453,3767,32.7,20048,11735,0.459,407,4167,90573,-0.046,,,,,,,,,1440.8,27.73
72145,Vega Baja Municipio,50023,59662,-0.162,59662,0.04,0.181,0.211,0.523,0.832,0.05,0.001,0,0,0.01,0.967,0.03,1010,0.007,,0.797,106600,856,154,496,,18721,2.77,0.955,0.944,0.689,0.445,0.716,0.212,0.153,0.116,0.417,0.389,24329,46601,235647,484487,193145,3310,30.2,19617,11116,0.452,386,5426,154995,-0.017,,,,,,,,,1301.1,45.86
72147,Vieques Municipio,8386,9301,-0.098,9301,0.039,0.184,0.226,0.496,0.547,0.075,0.001,0.002,0,0.01,0.949,0.051,387,0.001,,0.691,111200,1524,141,627,,2258,3.83,0.978,0.887,0.698,0.647,0.712,0.18,0.025,0.153,0.382,0.329,9304,4009,,,23577,2546,14.8,14936,10426,0.459,97,590,11339,-0.389,,,,,,,,,183.2,50.77
72149,Villalba Municipio,21372,26073,-0.18,26073,0.045,0.199,0.186,0.517,0.567,0.035,0,0,0,0.282,0.997,0.002,431,0.003,,0.695,92600,786,133,405,,7908,2.82,0.916,0.953,0.757,0.693,0.78,0.199,0.189,0.045,0.459,0.411,3943,9379,,,31708,1249,30.5,19877,10894,0.478,113,1776,57263,0.107,,,,,,,,,731.6,35.64
72151,Yabucoa Municipio,32282,37941,-0.149,37941,0.033,0.174,0.222,0.517,0.186,0.789,0,0,0,0.011,0.999,0,605,0.002,,0.72,87200,642,138,454,,11541,2.90,0.938,0.961,0.64,0.58,0.71,0.18,0.079,0.06,0.386,0.359,7248,10684,18462,9364,98139,2638,30.3,16295,9929,0.531,167,1487,28810,-0.161,,,,,,,,,687.2,55.22
72153,Yauco Municipio,33575,41947,-0.2,41947,0.036,0.174,0.232,0.523,0.751,0.038,0.004,0,0,0.009,0.994,0.003,750,0.004,,0.757,91100,708,122,365,,10990,3.20,0.967,0.919,0.576,0.478,0.734,0.246,0.213,0.073,0.361,0.284,22986,51311,69765,1725,215734,5306,22.7,14743,8404,0.49,394,4040,79006,-0.019,,,,,,,,,616.5,68.19
