fips_code,county,pop_estimates_2019,pop_estimates_2010,pop_percent_change,pop_census_2010,pop_under_5yrs_percent,pop_under_18yrs_percent,pop_65yrs_over_percent,female_percent,white_alone_percent,black_alone_percent,american_indian_alaska_native_alone_percent,asian_alone_percent,pacific_islander_alone_percent,two_or_more_races_percent,hispanic_percent,white_alone_not_hispanic_percent,veterans,foreign_born_persons_percent,housing_units,owner_occupied_housing_rate,median_value_of_owner_occupied_house,median_monthly_owner_costs_mortgage,median_monthly_owner_cost_no_mortgage,median_gross_rent,building_permits,households,persons_per_household,living_house_year_ago_percent_aged_1yr_over,language_non_english_percent_aged_5yrs,households_computer_percent,households_broadband_percent,high_school_graduate_percent_25yrs_over,bachelors_degree_percent_25yrs_over,disabled_under_65yrs_percent,no_health_insurance_under_65yrs_percent,labor_total_percent_age_16yrs,labor_force_female_percent_age_16yrs,accommodation_food_services_sales,health_care_and_social_revenue,manufacturers_shipments,merchant_wholesaler_sales,retail_sales,retail_sales_per_capita,mean_travel_time_to_work_mins,median_household_income,per_capita_income_past_year,poverty_percent,employer_establishments,employment,annual_payroll,employment_percent_change,nonemployer_establishments,all_firms,male_owned_firms,female_owned_firms,minority_owned_firms,nonminority_owned_firms,veteran_owned_firms,nonveteran_owned_firms,pop_per_square_mile,land_area_square_miles
72025,Caguas Municipio,124606,142917,-0.128,142917,0.035,0.177,0.209,0.536,0.763,0.084,0.002,0.002,0,0.031,0.986,0.011,3601,0.019,,0.684,127800,925,148,567,,48184,2.65,0.881,0.937,0.753,0.701,0.814,0.314,0.175,0.079,0.493,0.446,260619,341943,1458775,2281625,1999290,14140,33.8,25136,15244,0.377,2337,35187,910884,-0.051,,,,,,,,,2438.6,58.6
72027,Camuy Municipio,30504,35159,-0.132,35159,0.036,0.173,0.208,0.524,0.861,0.018,0,0,0,0.007,0.989,0.01,658,0.009,,0.724,94400,746,135,455,,11394,2.76,0.976,0.947,0.63,0.552,0.71,0.208,0.133,0.059,0.381,0.321,8680,15871,170908,14988,57287,1649,30.5,17000,10709,0.5,281,2092,36958,-0.005,,,,,,,,,758.5,46.36
72029,Canóvanas Municipio,44674,47639,-0.062,47639,0.037,0.192,0.177,0.52,0.482,0.111,0,0.006,0,0.006,0.998,0.001,999,0.041,,0.737,107500,944,137,522,,14643,3.10,0.901,0.963,0.792,0.772,0.751,0.232,0.128,0.121,0.514,0.457,31377,26871,59234,4135,287035,5967,36.7,21267,12924,0.421,323,3375,84362,-0.156,,,,,,,,,1449.8,32.87
72031,Carolina Municipio,146984,176762,-0.168,176762,0.035,0.17,0.231,0.544,0.539,0.205,0.014,0.003,0,0.078,0.988,0.007,4595,0.064,,0.701,139900,1004,201,622,,61909,2.47,0.902,0.905,0.823,0.762,0.846,0.318,0.148,0.104,0.532,0.487,547272,193891,12035562,840938,1767603,10233,30,29059,16846,0.309,1874,36533,909435,-0.03,,,,,,,,,3900.2,45.32
72033,Cataño Municipio,23121,28147,-0.179,28147,0.037,0.187,0.211,0.529,0.681,0.131,0,0.002,0,0.039,0.99,0.009,521,0.032,,0.602,117700,969,175,491,,8706,2.79,0.936,0.947,0.737,0.55,0.735,0.203,0.155,0.082,0.484,0.435,17421,7834,159385,1232254,140612,5130,31.4,17448,12796,0.486,330,9387,278895,0.022,,,,,,,,,5808,4.85
72035,Cayey Municipio,42409,48119,-0.119,48119,0.036,0.173,0.215,0.521,0.63,0.065,0.002,0.002,0,0.255,0.994,0.003,1283,0.01,,0.635,117200,865,136,476,,16213,2.69,0.938,0.963,0.719,0.689,0.754,0.242,0.257,0.09,0.402,0.374,38058,185786,839152,3766,343090,7203,27.2,22518,12819,0.409,460,7470,201651,0.023,,,,,,,,,926.5,51.93
72037,Ceiba Municipio,10904,13631,-0.2,13631,0.032,0.167,0.245,0.534,0.612,0.088,0.004,0.002,0,0.034,0.984,0.012,371,0.021,,0.717,92000,660,140,489,,4224,2.72,0.919,0.966,0.691,0.63,0.732,0.181,0.049,0.07,0.413,0.34,5548,3388,8870,,6562,497,26.3,18309,11204,0.415,87,541,11757,0.017,,,,,,,,,469.5,29.04
72039,Ciales Municipio,15808,18782,-0.158,18782,0.039,0.184,0.213,0.516,0.934,0.015,0.003,0.001,0,0.03,0.991,0.009,169,0.004,,0.699,88600,639,126,378,,5831,2.83,0.926,0.952,0.663,0.537,0.671,0.158,0.209,0.059,0.338,0.29,3362,10696,8681,,34069,1858,39.3,16867,9106,0.551,101,675,11514,-0.098,,,,,,,,,282.3,66.53
72041,Cidra Municipio,38307,43480,-0.119,43480,0.04,0.188,0.185,0.517,0.723,0.092,0.003,0.002,0,0.139,0.993,0.003,696,0.009,,0.664,117100,878,137,510,,12942,3.05,0.948,0.97,0.626,0.555,0.761,0.239,0.223,0.058,0.432,0.373,12290,26160,4868745,,123653,2866,30.7,19726,10980,0.447,335,3783,112593,0.03,,,,,,,,,1207.1,36.02
72043,Coamo Municipio,38336,40512,-0.054,40512,0.035,0.185,0.186,0.515,0.665,0.29,0,0,0,0.002,0.993,0.006,1376,0.009,,0.772,90700,724,130,493,,13104,2.96,0.917,0.959,0.501,0.576,0.779,0.219,0.218,0.041,0.385,0.342,9300,12292,173203,953,92078,2250,26,19692,11063,0.46,250,1810,35004,-0.198,,,,,,,,,519.3,78.01
72045,Comerío Municipio,18648,20778,-0.103,20778,0.037,0.19,0.191,0.507,0.822,0.115,0.003,0,0,0.004,0.994,0.005,278,0.007,,0.558,93500,725,140,458,,5565,3.45,0.944,0.926,0.529,0.396,0.703,0.133,0.18,0.057,0.406,0.366,1819,6279,,6569,82866,4009,37.6,13733,7352,0.587,102,748,14515,0.039,,,,,,,,,731.6,28.4
72047,Corozal Municipio,32293,37142,-0.131,37142,0.041,0.196,0.191,0.516,0.81,0.076,0,0,0,0.031,0.99,0.009,379,0.001,,0.759,92100,740,152,516,,10535,3.15,0.961,0.958,0.638,0.521,0.693,0.192,0.189,0.063,0.427,0.364,8864,14889,28899,12022,66000,1795,39.2,15140,8124,0.56,284,2497,46882,-0.01,,,,,,,,,872.4,42.57
72049,Culebra Municipio,1714,1818,-0.057,1818,0.039,0.177,0.228,0.506,0.542,0.059,0.004,0.02,0,0.049,0.914,0.074,55,0.046,,0.612,143800,1563,192,566,,482,2.72,0.995,0.927,0.77,0.678,0.704,0.153,0.065,0.154,0.56,0.526,1686,,,,4673,2587,11.6,23333,15027,0.36,39,192,3447,-0.235,,,,,,,,,156.4,11.62
72051,Dorado Municipio,36141,38165,-0.053,38165,0.038,0.199,0.181,0.526,0.778,0.128,0,0.001,0,0.051,0.978,0.021,1075,0.016,,0.773,135500,1234,155,653,,11602,3.17,0.98,0.943,0.839,0.515,0.809,0.301,0.113,0.063,0.497,0.429,63425,19732,315080,266443,206536,5346,33.9,30732,16876,0.327,545,7139,211161,-0.022,,,,,,,,,1653,23.09
72053,Fajardo Municipio,29454,36993,-0.204,36993,0.04,0.184,0.226,0.534,0.561,0.108,0.002,0.005,0,0.031,0.99,0.003,1099,0.024,,0.657,101900,757,148,515,,12298,2.52,0.899,0.959,0.759,0.714,0.801,0.253,0.144,0.096,0.532,0.51,233930,95415,,17075,287686,8022,27.4,19430,12846,0.437,479,6635,156303,-0.09,,,,,,,,,1238.7,29.86
72054,Florida Municipio,11317,12677,-0.107,12677,0.041,0.192,0.191,0.526,0.836,0.016,0,0.008,0,0.017,0.989,0.011,217,0,,0.725,92900,666,148,547,,4271,2.74,0.964,0.978,0.718,0.519,0.776,0.132,0.131,0.04,0.439,0.374,394,4107,,,16515,1311,25.9,20442,9250,0.505,54,595,9634,-0.115,,,,,,,,,833.7,15.21
72055,Guánica Municipio,15383,19427,-0.208,19427,0.042,0.19,0.25,0.52,0.572,0.052,0.002,0,0,0.012,0.99,0.008,402,0.002,,0.71,88100,664,117,378,,5515,2.94,0.971,0.943,0.529,0.41,0.699,0.155,0.293,0.054,0.347,0.303,6593,2940,40218,697,26280,1400,21.8,12995,7293,0.634,98,1298,22156,-0.123,,,,,,,,,524.3,37.05
72057,Guayama Municipio,39465,45362,-0.13,45362,0.036,0.187,0.191,0.506,0.731,0.141,0,0.001,0.004,0.021,0.99,0.008,391,0.007,,0.729,86300,706,173,374,,14022,2.76,0.902,0.946,0.554,0.599,0.769,0.206,0.195,0.074,0.318,0.299,34274,99245,,12917,210176,4672,24.6,17261,10387,0.502,420,6673,193221,-0.065,,,,,,,,,698,64.99
72059,Guayanilla Municipio,17623,21581,-0.183,21581,0.04,0.193,0.217,0.526,0.785,0.022,0.001,0.007,0,0.007,0.994,0.004,415,0.006,,0.718,79700,698,143,349,,6510,2.83,0.957,0.959,0.711,0.67,0.769,0.247,0.094,0.043,0.404,0.346,6309,2584,,,27494,1310,24.5,17379,9136,0.548,96,877,18426,-0.111,,,,,,,,,510.6,42.27
72061,Guaynabo Municipio,83728,97917,-0.145,97917,0.033,0.153,0.231,0.53,0.754,0.072,0.002,0.001,0,0.041,0.984,0.013,2583,0.06,,0.716,178200,1473,244,720,,30758,2.81,0.922,0.942,0.81,0.748,0.845,0.451,0.155,0.087,0.528,0.472,159175,123809,1739903,4404387,1166263,12120,26.2,35928,24887,0.253,2098,39235,1413354,-0.004,,,,,,,,,3550.7,27.58
72063,Gurabo Municipio,47093,45371,0.038,45371,0.033,0.187,0.166,0.529,0.655,0.137,0.001,0.001,0,0.015,0.969,0.02,1348,0.011,,0.823,141200,1097,173,622,,14529,3.21,0.901,0.948,0.778,0.77,0.803,0.334,0.173,0.094,0.566,0.521,16360,12860,763620,20081,72644,1548,35.8,35018,18518,0.307,330,7655,201510,0.038,,,,,,,,,1626.9,27.89
72065,Hatillo Municipio,39218,41953,-0.065,41953,0.031,0.171,0.211,0.521,0.976,0.008,0,0.001,0,0.006,0.996,0.002,740,0.004,,0.743,93000,818,146,456,,14160,2.81,0.989,0.963,0.65,0.601,0.726,0.246,0.076,0.078,0.401,0.346,45094,25229,208566,99792,614679,14569,28.1,17715,11144,0.454,472,6874,149048,0.009,,,,,,,,,1004.1,41.78
72067,Hormigueros Municipio,15518,17250,-0.1,17250,0.027,0.153,0.287,0.541,0.257,0.024,0,0,0,0.017,0.998,0.001,349,0.007,,0.732,98700,732,138,424,,6255,2.53,0.925,0.934,0.711,0.644,0.764,0.229,0.168,0.052,0.468,0.417,7655,6664,12628,2708,121282,7064,22.6,19030,12479,0.436,162,1858,38408,-0.01,,,,,,,,,1520.6,11.34
72069,Humacao Municipio,50653,58466,-0.134,58466,0.036,0.174,0.233,0.529,0.535,0.215,0.002,0.006,0,0.011,0.99,0.007,1207,0.015,,0.721,96000,801,149,437,,17615,2.96,0.925,0.946,0.685,0.622,0.766,0.231,0.071,0.054,0.39,0.324,61230,244264,2235424,58887,475879,8248,25.9,20434,13043,0.429,744,10486,289497,-0.11,,,,,,,,,1306.4,44.76
72071,Isabela Municipio,40423,45655,-0.115,45655,0.033,0.172,0.207,0.514,0.656,0.051,0.001,0,0,0.009,0.986,0.009,850,0.015,,0.636,102200,760,120,456,,14670,2.82,0.975,0.942,0.588,0.408,0.705,0.219,0.186,0.069,0.357,0.312,22188,20189,23943,36922,245228,5405,25.2,16540,9002,0.557,421,4021,92835,-0.044,,,,,,,,,825.1,55.3
72073,Jayuya Municipio,13891,16642,-0.165,16642,0.045,0.208,0.176,0.504,0.579,0.025,0.004,0,0,0.03,0.997,0.003,169,0.002,,0.578,94100,744,122,371,,4837,2.95,0.925,0.953,0.65,0.499,0.756,0.182,0.168,0.081,0.323,0.28,3200,3021,,,47950,2937,24.3,14808,7308,0.61,89,2064,63675,-0.069,,,,,,,,,373.7,44.53
72075,Juana Díaz Municipio,44679,50747,-0.12,50747,0.042,0.201,0.186,0.526,0.451,0.088,0.001,0.002,0,0.342,0.998,0.002,1455,0.004,,0.716,91600,764,134,506,,15408,2.96,0.915,0.972,0.774,0.735,0.77,0.25,0.156,0.061,0.492,0.441,15161,21781,,7111,170186,3381,26.8,20657,10550,0.467,266,4262,117082,0.023,,,,,,,,,841.9,60.28
72077,Juncos Municipio,38155,40290,-0.053,40290,0.041,0.198,0.167,0.524,0.491,0.135,0.001,0.002,0,0.051,0.993,0.006,719,0.003,,0.714,104300,781,134,443,,12558,3.07,0.944,0.91,0.784,0.757,0.755,0.19,0.14,0.104,0.493,0.468,17322,11922,,1781,93978,2311,30.3,19605,10222,0.474,234,5374,343060,-0.037,,,,,,,,,1521,26.49
