censusid,tractid,poverty_rank,unemployed_rank,earnings_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12001000200,12001000200,0.973007211069967,0.43014098201264,0.996295213025251,0.0459949327616449,0.454217806351062,2.89965614522056,0.648215218082871
1400000US12001000301,12001000301,0.873708828688365,0.843364122508508,0.830749731890416,0.055642175014617,0.674654198324567,3.27811905642647,0.744980077719991
1400000US12001000302,12001000302,0.749561488988501,0.922994652406417,0.642975528907088,0.170921847593062,0.880381842976817,3.36683536087189,0.767662936444062
1400000US12001000400,12001000400,0.787955564217501,0.740787554691298,0.519645120405577,0.513837458585071,0.942333917786869,3.50455961568632,0.80287607831649
1400000US12001000500,12001000500,0.804424088871565,0.951677199805542,0.513990445549381,0.218768271292146,0.785992596921878,3.27485260244051,0.744144915403939
1400000US12001000600,12001000600,0.826934320795167,0.978998541565386,0.667544116213318,0.234457220814656,0.747710890317553,3.45564508970608,0.790369681783175
1400000US12001000700,12001000700,0.812999415318651,0.818084589207584,0.804523739884957,0.331611771584486,0.811221507890123,3.5784410238858,0.821765971837195
1400000US12001000806,12001000806,0.931982069771974,0.537481769567331,0.878716973774008,0.0217306567920483,0.400155854276252,2.77006732418161,0.615082132364066
1400000US12001000808,12001000808,0.88998245955954,0.60787554691298,0.848298722823438,0.0322549210680179,0.542372881355932,2.92078453171991,0.6536172939361
1400000US12001000809,12001000809,0.646657571623465,0.546135148274186,0.531539436482402,0.0479438705905282,0.740307812195597,2.51258383916618,0.549249120598114
1400000US12001000901,12001000901,0.908789709608264,0.563928050559067,0.999707516817783,0.00302085363476905,0.838301188388856,3.31374731900874,0.75408946129711
1400000US12001000902,12001000902,0.740693821867082,0.573553719008265,1,0.00302085363476905,0.925092538476524,3.24236093298664,0.735837491503242
1400000US12001001000,12001001000,0.897193529526408,0.207097715119105,0.982840986643268,0.199571233677646,0.731053964543152,3.01775742950958,0.678411186720265
1400000US12001001100,12001001100,0.195770804911323,0.0266407389402042,0.138637028370869,0.751802767491717,0.607734268458991,1.7205856081731,0.3467521377083
1400000US12001001201,12001001201,0.12804521535763,0.294992707826932,0.328458613629716,0.52270512570649,0.562926164036626,1.83712782655739,0.376549486589387
1400000US12001001202,12001001202,0.447183784837264,0.280700048614487,0.377790777030321,0.434905476515299,0.429670757841418,1.97025084483879,0.410586190839808
1400000US12001001203,12001001203,0.77879555642175,0.598930481283422,0.343862727893146,0.109627752874683,0.625852328073252,2.45706884654625,0.535055126128468
