censusid,tractid,poverty_rank,unemployed_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12001110800,12001110800,0.612940947,0.004375304,0.274020659,0.52259887,1.41393578,0.396546206
1400000US12003040101,12003040101,0.44075229,0.197666505,0.682907815,0.422852133,1.744178743,0.489877982
1400000US12003040102,12003040102,0.495127655,0.100534759,0.625901384,0.353789207,1.575353006,0.442165214
1400000US12003040201,12003040201,0.519197038,0.422557122,0.814656012,0.350574713,2.106984885,0.592412617
1400000US12003040202,12003040202,0.600175404,0.799805542,0.708049113,0.346093902,2.454123962,0.690519496
1400000US12005000201,12005000201,0.413077373,0.283033544,0.848470084,0.273816482,1.818397482,0.510853348
1400000US12005000202,12005000202,0.424478659,0.381137579,0.853732216,0.309273329,1.968621784,0.553309062
1400000US12005000300,12005000300,0.744981485,0.711618862,0.890372247,0.25862069,2.605593284,0.733327073
1400000US12005000400,12005000400,0.313389203,0.294409334,0.88150458,0.261055913,1.75035903,0.491624627
1400000US12005000500,12005000500,0.259793413,0.327856101,0.580588579,0.171050068,1.339288161,0.375449633
1400000US12005000600,12005000600,0.262619372,0.018084589,0.499025531,0.309468147,1.08919764,0.304770179
1400000US12005000700,12005000700,0.069089846,0.530384054,0.003020854,0.347749854,0.950244608,0.2654999
1400000US12005000803,12005000803,0.757552134,0.755080214,0.203664003,0.368984999,2.08528135,0.586278862
1400000US12005000804,12005000804,0.239037225,0.716480311,0.631066069,0.19257744,1.779161045,0.499764523
1400000US12005000805,12005000805,0.387059053,0.52036947,0.460436562,0.41681278,1.784677865,0.501323661
1400000US12005000806,12005000806,0.315143247,0.51473019,0.624634574,0.365380869,1.81988888,0.51127484
1400000US12005000900,12005000900,0.600272851,0.740495868,0.299259404,0.472141048,2.112169171,0.593877776
1400000US12005001000,12005001000,0.846813487,0.096742829,0.360261158,0.79388272,2.097700193,0.589788619
1400000US12005001100,12005001100,0.765445332,0.51181332,0.257649581,0.582602766,2.117511,0.59538746
1400000US12005001200,12005001200,0.765932567,0.581720953,0.449327616,0.206312098,2.003293234,0.563107751
1400000US12005001301,12005001301,0.411030988,0.125911522,0.579126876,0.308591467,1.424660853,0.399577278
1400000US12005001302,12005001302,0.563535373,0.285755955,0.242837653,0.301480616,1.393609598,0.390801712
1400000US12005001402,12005001402,0.051646852,0.456781721,0.897875658,0.349503214,1.755807446,0.493164434
1400000US12005001403,12005001403,0.353732216,0.829168692,0.480218281,0.597214105,2.260333294,0.635751252
1400000US12005001404,12005001404,0.385402456,0.620029169,0.429545897,0.389830508,1.82480803,0.512665068
1400000US12005001501,12005001501,0.193529526,0.635488576,0.397875658,0.22871615,1.45560991,0.408323961
