censusid,tractid,poverty_rank,unemployed_rank,earnings_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12001002210,12001002210,0.334632625,0.093631502,0.217022521,0.851198597,0.465809468,1.962294714,0.41529995
1400000US12001002217,12001002217,0.790684077,0.924939232,0.766500926,0.025043851,0.389051237,2.896219323,0.63130783
1400000US12001002218,12001002218,0.88871565,0.730189596,0.746417081,0.063535373,0.437073836,2.865931537,0.624302553
1400000US12001002219,12001002219,0.737478074,0.682352941,0.651945013,0.105047749,0.237190727,2.414014504,0.519778441
1400000US12001002220,12001002220,0.781036835,0.669907632,0.38939261,0.544045995,0.360218196,2.744601268,0.596240016
1400000US12001110800,12001110800,0.612940947,0.004375304,0.479087452,0.274020659,0.52259887,1.893023232,0.399278116
1400000US12003040101,12003040101,0.44075229,0.197666505,0.312664522,0.682907815,0.422852133,2.056843265,0.437168131
1400000US12003040102,12003040102,0.495127655,0.100534759,0.376620844,0.625901384,0.353789207,1.95197385,0.412912833
1400000US12003040201,12003040201,0.519197038,0.422557122,0.475187677,0.814656012,0.350574713,2.582172561,0.558671801
1400000US12003040202,12003040202,0.600175404,0.799805542,0.616847031,0.708049113,0.346093902,3.070970993,0.671726229
1400000US12005000201,12005000201,0.413077373,0.283033544,0.408988983,0.848470084,0.273816482,2.227386465,0.476613151
1400000US12005000202,12005000202,0.424478659,0.381137579,0.33148094,0.853732216,0.309273329,2.300102723,0.49343173
1400000US12005000300,12005000300,0.744981485,0.711618862,0.550940821,0.890372247,0.25862069,3.156534105,0.691516163
1400000US12005000400,12005000400,0.313389203,0.294409334,0.331773423,0.88150458,0.261055913,2.082132453,0.44301728
1400000US12005000500,12005000500,0.259793413,0.327856101,0.497123915,0.580588579,0.171050068,1.836412076,0.386184494
1400000US12005000600,12005000600,0.262619372,0.018084589,0.385297845,0.499025531,0.309468147,1.474495485,0.302476628
1400000US12005000700,12005000700,0.069089846,0.530384054,0.394072341,0.003020854,0.347749854,1.344316949,0.272367571
1400000US12005000803,12005000803,0.757552134,0.755080214,0.693770108,0.203664003,0.368984999,2.779051458,0.604208017
1400000US12005000804,12005000804,0.239037225,0.716480311,0.432192649,0.631066069,0.19257744,2.211353694,0.472904924
1400000US12005000805,12005000805,0.387059053,0.52036947,0.541581359,0.460436562,0.41681278,2.326259224,0.49948148
1400000US12005000806,12005000806,0.315143247,0.51473019,0.610022424,0.624634574,0.365380869,2.429911303,0.52345522
1400000US12005000900,12005000900,0.600272851,0.740495868,0.632641123,0.299259404,0.472141048,2.744810294,0.596288361
1400000US12005001000,12005001000,0.846813487,0.096742829,0.72331091,0.360261158,0.79388272,2.821011103,0.613912884
1400000US12005001100,12005001100,0.765445332,0.51181332,0.848786195,0.257649581,0.582602766,2.966297195,0.647516175
1400000US12005001200,12005001200,0.765932567,0.581720953,0.717656235,0.449327616,0.206312098,2.720949469,0.590769579
1400000US12005001301,12005001301,0.411030988,0.125911522,0.307594813,0.579126876,0.308591467,1.732255666,0.362094107
1400000US12005001302,12005001302,0.563535373,0.285755955,0.738910013,0.242837653,0.301480616,2.13251961,0.45467135
1400000US12005001402,12005001402,0.051646852,0.456781721,0.347859998,0.897875658,0.349503214,2.103667444,0.447998118
1400000US12005001403,12005001403,0.353732216,0.829168692,0.419518378,0.480218281,0.597214105,2.679851672,0.58126405
1400000US12005001404,12005001404,0.385402456,0.620029169,0.342887784,0.429545897,0.389830508,2.167695814,0.462807271
1400000US12005001501,12005001501,0.193529526,0.635488576,0.364824023,0.397875658,0.22871615,1.820433933,0.382488901
1400000US12005001502,12005001502,0.566068992,0.557024793,0.283903676,0.313584097,0.498344048,2.218925606,0.474656235
1400000US12005001600,12005001600,0.829760281,0.70140982,0.679438432,0.130968622,0.589616209,2.931193364,0.639396993
